3.93,42.54,43.79,24.23,7.00,1.4726,gutter
8.85,48.32,46.63,22.87,7.01,1.4715,gutter
4.12,40.08,43.0,22.42,11.5,1.4727,gutter
4.09,40.34,40.42,29.98,10.04,1.4745,gutter
4.17,39.51,43.04,27.28,10.74,1.4715,gutter
4.61,39.96,44.04,27.48,9.35,1.4741,gutter
4.05,40.26,41.8,28.88,10.17,1.4722,gutter
3.96,39.44,42.03,22.57,7.3,1.4746,gutter
4.2,40.34,40.04,28.49,10.42,1.4753,gutter
4.83,38.87,39.57,23.13,11.08,1.4716,gutter
4.45,40.15,43.66,25.23,7.12,1.4724,gutter
4.96,40.46,43.6,24.48,7.59,1.4733,gutter
4.69,39.18,41.62,29.69,7.75,1.4745,gutter
4.82,40.61,39.35,27.45,10.33,1.4735,gutter
4.35,39.9,41.41,25.36,9.93,1.475,gutter
7.13,40.35,41.15,27.54,7.16,1.4721,gutter
6.6,40.49,40.77,24.66,9.27,1.4734,gutter
8.02,39.13,43.77,29.24,7.8,1.4741,gutter
8.13,39.24,41.0,26.39,6.23,1.4726,gutter
6.12,40.29,39.67,24.17,7.46,1.4756,gutter
7.99,39.07,45.48,29.58,11.47,1.4746,gutter
6.78,39.98,40.5,26.95,9.22,1.4716,gutter
8.54,40.14,43.04,23.07,6.88,1.474,gutter
7.57,38.95,42.14,28.82,6.9,1.473,gutter
6.69,40.5,41.62,26.84,7.3,1.4716,gutter
6.14,40.52,39.86,23.67,7.12,1.4741,gutter
8.38,40.47,42.73,27.06,9.04,1.4729,gutter
8.23,39.95,39.41,25.81,10.7,1.4722,gutter
6.39,45.43,44.52,23.53,7.00,1.4725,gutter
6.12,14.07,27.07,19.9,14.22,1.4756,gutter
6.33,25.83,29.9,20.99,10.89,1.4726,gutter
4.87,10.7,27.42,17.05,10.85,1.4724,gutter
6.04,12.34,34.32,23.05,10.96,1.4746,gutter
4.7,10.15,35.54,23.24,17.47,1.4741,gutter
4.98,14.69,36.06,23.04,15.23,1.4727,gutter
6.05,22.29,23.44,21.5,10.2,1.4747,gutter
6.31,14.19,39.02,22.07,11.94,1.4736,gutter
5.31,10.87,40.59,17.98,17.59,1.4718,gutter
5.77,13.03,25.96,22.23,17.86,1.474,gutter
4.42,27.84,36.08,20.93,12.27,1.4725,gutter
5.49,17.59,34.57,20.2,15.17,1.4755,gutter
4.48,14.43,29.38,23.4,15.96,1.4744,gutter
5.26,27.31,29.16,21.78,16.47,1.4737,gutter
5.59,29.82,30.47,18.49,9.59,1.4739,gutter
5.97,27.01,22.09,23.53,14.19,1.4729,gutter
5.45,13.08,30.19,19.54,15.62,1.4741,gutter
6.21,28.47,34.91,22.67,13.99,1.4742,gutter
6.25,23.18,33.75,21.06,17.1,1.4728,gutter
6.31,11.18,40.32,17.14,13.81,1.4737,gutter
5.31,18.25,33.81,20.31,13.01,1.4738,gutter
6.7,21.36,40.52,21.07,13.81,1.4742,gutter
6.79,20.11,34.64,23.8,11.77,1.4757,gutter
6.73,12.61,35.25,17.85,12.19,1.4722,gutter
5.96,16.38,21.86,19.29,11.82,1.4737,gutter
5.09,26.96,33.15,20.87,9.23,1.4743,gutter
5.23,42.59,49.41,27.51,10.66,1.4723,gutter
4.94,42.55,44.29,28.25,10.34,1.4725,gutter
5.73,42.98,44.28,29.87,14.02,1.4718,gutter
5.58,43.06,44.81,25.0,10.03,1.4714,gutter
5.79,42.7,48.89,29.78,13.21,1.4723,gutter
5.54,43.44,46.0,27.25,13.3,1.4726,gutter
5.93,43.09,48.55,25.2,15.2,1.4721,gutter
5.52,43.17,45.82,28.98,10.63,1.4724,gutter
5.73,42.7,49.42,29.75,15.12,1.4721,gutter
5.21,42.66,49.02,26.94,10.96,1.4712,gutter
5.77,43.58,48.01,25.22,11.23,1.4723,gutter
4.53,43.49,44.64,27.55,10.79,1.4722,gutter
5.03,43.25,46.07,27.81,11.49,1.4714,gutter
