25ph,60conduc,dvconduc,25ox,dvox,reindex,label
5.23,49.41,27.51,42.59,10.66,1.4723,gutter
4.94,44.29,28.25,42.55,10.34,1.4725,gutter
5.73,44.28,29.87,42.98,14.02,1.4718,gutter
5.58,44.81,25.0,43.06,10.03,1.4714,gutter
5.79,48.89,29.78,42.7,13.21,1.4723,gutter
5.54,46.0,27.25,43.44,13.3,1.4726,gutter
5.93,48.55,25.2,43.09,15.2,1.4721,gutter
5.52,45.82,28.98,43.17,10.63,1.4724,gutter
5.73,49.42,29.75,42.7,15.12,1.4721,gutter
5.21,49.02,26.94,42.66,10.96,1.4712,gutter
5.77,48.01,25.22,43.58,11.23,1.4723,gutter
4.53,44.64,27.55,43.49,10.79,1.4722,gutter
5.03,46.07,27.81,43.25,11.49,1.4714,gutter
5.25,49.48,27.27,42.83,9.84,1.4714,gutter
5.35,49.07,25.32,43.23,11.33,1.4725,gutter
7.8,50.17,27.1,48.65,13.57,1.4712,gutter
7.99,50.22,29.37,49.29,11.5,1.4718,gutter
7.89,49.23,28.44,48.77,14.63,1.4717,gutter
6.97,47.97,28.59,49.07,13.54,1.4714,gutter
6.46,47.06,26.36,49.19,10.23,1.4718,gutter
7.86,50.32,29.55,48.61,10.66,1.4747,gutter
7.13,48.93,28.99,48.54,12.7,1.4717,gutter
6.78,47.37,28.02,49.03,10.23,1.4719,gutter
7.75,50.59,29.43,49.36,11.98,1.4747,gutter
6.66,47.17,25.7,49.28,13.21,1.4713,gutter
7.75,49.51,28.36,49.41,10.77,1.4717,gutter
7.78,50.3,26.84,49.3,14.3,1.4716,gutter
7.46,47.82,25.53,48.62,13.32,1.4715,gutter
7.22,48.12,26.36,49.48,13.11,1.4719,gutter
7.22,50.78,25.83,48.54,13.39,1.4711,gutter
6.47,42.48,25.42,26.18,26.57,1.4741,capsicol
5.64,42.31,25.4,26.3,25.18,1.4752,capsicol
5.79,43.2,25.36,26.79,26.17,1.4746,capsicol
6.29,42.75,25.35,26.32,22.47,1.4748,capsicol
6.43,42.61,24.9,25.64,22.82,1.4753,capsicol
6.05,42.29,25.17,25.65,25.73,1.4741,capsicol
5.7,42.95,24.94,26.58,25.49,1.4746,capsicol
6.04,43.55,24.86,26.37,24.72,1.4741,capsicol
5.91,42.51,25.39,26.34,25.39,1.4746,capsicol
6.17,42.45,24.88,25.93,24.19,1.4741,capsicol
5.6,42.66,25.41,25.47,24.66,1.4749,capsicol
6.46,44.38,25.09,25.36,26.49,1.4742,capsicol
6.05,44.03,25.07,25.12,21.9,1.4752,capsicol
5.73,43.69,24.79,26.92,25.79,1.4747,capsicol
6.05,43.41,25.21,26.68,25.76,1.4747,capsicol
6.08,44.74,25.37,25.14,23.23,1.4746,capsicol
5.67,42.73,25.01,26.35,23.04,1.4748,capsicol
6.36,42.16,25.11,25.5,25.43,1.4742,capsicol
6.15,42.05,25.3,26.02,25.59,1.4752,capsicol
5.89,43.03,24.81,26.55,23.74,1.4752,capsicol
5.83,43.52,25.04,26.63,22.8,1.4742,capsicol
5.8,42.07,24.85,25.94,22.36,1.475,capsicol
6.21,44.96,25.44,25.59,22.17,1.4747,capsicol
5.91,42.03,25.18,25.54,21.91,1.4746,capsicol
6.44,43.31,24.93,26.37,23.59,1.4747,capsicol
