25ph,60conduc,dvconduc,25ox,dvox,reindex,label
5.33,42.14,21.27,46.9,19.09,1.4729,gutter
6.2,34.47,28.7,44.94,11.96,1.4725,gutter
5.81,31.56,30.44,40.58,10.65,1.4752,gutter
5.73,27.29,24.96,16.25,14.42,1.4725,gutter
5.01,26.84,26.35,29.92,16.12,1.473,gutter
6.01,46.72,23.97,19.01,12.25,1.4753,gutter
5.77,44.86,23.74,15.8,20.61,1.4742,gutter
5.13,30.91,23.46,45.77,20.36,1.4743,gutter
4.89,42.25,29.25,23.7,14.1,1.4735,gutter
6.3,32.92,28.52,44.93,20.37,1.4741,gutter
5.4,33.71,32.07,35.59,13.33,1.4736,gutter
6.21,29.69,27.62,30.45,17.72,1.4744,gutter
6.26,29.11,30.14,17.18,11.82,1.474,gutter
5.36,46.32,24.91,15.06,11.26,1.4754,gutter
6.51,32.81,29.6,36.16,13.0,1.4764,gutter
4.76,25.46,21.62,43.7,13.96,1.4765,gutter
5.68,28.58,25.73,17.66,17.11,1.4746,gutter
6.1,41.31,32.6,45.22,19.78,1.476,gutter
5.86,31.47,20.78,39.82,18.83,1.4759,gutter
5.43,31.05,22.92,17.2,12.04,1.475,gutter
5.97,38.84,25.69,17.57,19.81,1.4736,gutter
5.38,40.76,24.62,37.81,16.04,1.4743,gutter
4.69,43.38,21.25,33.65,21.25,1.4751,gutter
5.93,43.48,30.69,36.75,14.73,1.4731,gutter
6.09,46.32,22.08,18.02,9.73,1.476,gutter
6.73,41.08,30.18,38.88,17.24,1.4728,gutter
5.73,34.31,32.47,15.16,17.97,1.4751,gutter
5.12,41.84,30.59,43.37,18.05,1.4743,gutter
5.05,32.81,20.35,34.69,16.5,1.4752,gutter
6.31,40.53,22.53,41.96,13.88,1.4735,gutter
6.52,26.04,22.0,23.55,12.24,1.4743,gutter
5.05,46.65,26.11,14.03,19.42,1.4754,gutter
6.33,46.32,25.46,31.45,14.47,1.4758,gutter
5.86,39.29,24.33,20.14,14.83,1.4727,gutter
5.96,44.52,28.05,45.63,21.01,1.4741,gutter
6.03,39.26,25.24,42.92,20.08,1.4747,gutter
4.69,47.54,30.67,36.25,14.04,1.4751,gutter
4.7,39.37,32.65,31.08,21.08,1.4759,gutter
5.59,45.31,29.36,34.85,20.46,1.4733,gutter
6.53,36.74,22.2,32.0,17.57,1.4748,gutter
5.63,47.61,26.92,37.38,21.52,1.4727,gutter
5.93,43.25,21.68,15.38,19.23,1.4757,gutter
6.35,34.14,19.5,42.53,21.39,1.4733,gutter
5.78,35.47,29.84,37.19,15.78,1.4727,gutter
5.66,47.61,28.87,27.45,10.35,1.4728,gutter
6.0,38.91,27.68,17.54,17.23,1.4725,gutter
4.88,32.03,22.48,28.64,11.42,1.4761,gutter
5.05,39.98,27.18,36.29,14.21,1.4737,gutter
6.18,37.91,22.79,42.15,16.41,1.4729,gutter
5.64,47.65,28.37,32.28,20.53,1.4731,gutter
5.34,41.4,20.43,14.47,12.27,1.4755,gutter
5.1,44.35,21.05,37.47,18.47,1.4752,gutter
6.38,41.04,25.0,35.82,21.03,1.473,gutter
5.56,40.11,27.66,38.6,15.82,1.4748,gutter
4.85,42.08,22.78,47.68,21.53,1.4738,gutter
6.09,40.59,31.63,21.09,12.05,1.4741,gutter
5.44,47.29,25.8,24.29,21.36,1.4763,gutter
5.93,38.87,20.13,31.12,12.89,1.4732,gutter
5.74,35.42,27.07,22.96,10.82,1.4755,gutter
4.91,35.76,26.96,35.94,11.06,1.4749,gutter
6.49,30.84,29.66,41.01,17.57,1.4734,gutter
6.51,45.6,18.61,27.94,13.17,1.4728,gutter
5.73,36.79,23.12,21.79,16.06,1.4728,gutter
5.53,28.84,31.38,47.91,18.95,1.4757,gutter
5.42,47.4,23.8,24.49,12.68,1.4758,gutter
5.61,43.17,23.61,34.4,15.53,1.4733,gutter
6.37,31.0,29.11,49.02,21.84,1.4757,gutter
6.31,45.65,30.02,21.08,15.28,1.4729,gutter
5.57,39.27,29.39,33.58,21.42,1.4748,gutter
6.36,45.88,31.39,26.12,15.72,1.4724,gutter
5.66,44.71,21.68,28.34,15.76,1.4756,gutter
5.0,35.24,24.32,19.01,20.28,1.4762,gutter
5.51,45.23,27.4,26.41,11.22,1.4756,gutter
5.59,25.89,28.6,28.51,14.49,1.4738,gutter
5.61,41.07,27.09,46.82,13.77,1.4752,gutter
5.89,43.44,25.64,28.48,17.29,1.4755,gutter
5.98,39.4,22.82,31.16,21.23,1.4728,gutter
4.78,36.03,24.42,32.22,17.94,1.4755,gutter
5.69,43.81,30.21,38.64,14.19,1.4748,gutter
5.16,27.31,27.13,38.92,16.32,1.4739,gutter
5.02,31.91,22.84,23.2,17.4,1.4743,gutter
6.44,43.62,20.35,31.25,12.28,1.4756,gutter
5.68,43.92,21.11,29.1,21.76,1.4757,gutter
5.46,42.62,30.57,40.35,13.84,1.474,gutter
4.6,40.87,24.75,21.94,17.2,1.4751,gutter
4.97,38.84,31.26,34.31,19.46,1.4728,gutter
5.77,42.83,27.13,43.97,17.23,1.4724,gutter
5.96,48.26,28.95,35.6,11.55,1.473,gutter
4.82,31.51,29.2,26.87,11.3,1.476,gutter
6.23,38.75,28.73,39.09,15.2,1.4761,gutter
5.25,39.25,22.54,35.86,21.45,1.4743,gutter
4.82,38.07,20.68,42.67,18.86,1.4729,gutter
6.03,40.86,30.33,15.4,13.36,1.4755,gutter
5.05,25.99,28.88,31.41,18.51,1.4746,gutter
5.21,46.81,26.32,20.42,18.89,1.4729,gutter
5.65,26.81,25.97,39.35,12.73,1.4744,gutter
6.32,36.99,26.84,21.92,12.99,1.4736,gutter
6.18,44.64,30.04,23.82,11.36,1.4733,gutter
4.87,25.63,20.44,26.38,20.15,1.4747,gutter
6.15,41.37,29.72,21.6,19.47,1.4764,gutter
6.36,25.26,22.62,31.6,13.89,1.4744,gutter
6.03,26.75,28.2,32.93,20.18,1.4743,gutter
5.6,29.31,32.55,22.82,10.21,1.475,gutter
5.45,39.8,21.61,23.91,20.07,1.4734,gutter
5.89,47.39,32.58,34.33,19.11,1.4748,gutter
5.72,34.76,23.84,19.67,13.98,1.4738,gutter
5.35,45.63,23.13,41.45,21.8,1.4739,gutter
4.66,47.51,29.96,15.06,12.81,1.4743,gutter
5.95,33.24,25.08,22.74,17.06,1.4729,gutter
5.79,36.94,23.56,45.55,19.82,1.4749,gutter
5.87,25.98,29.5,32.53,19.41,1.4732,gutter
6.41,43.44,21.45,20.63,14.25,1.4754,gutter
5.9,37.45,31.76,46.34,17.89,1.4739,gutter
5.6,36.52,27.46,19.08,15.54,1.4739,gutter
5.49,32.77,20.92,34.18,15.26,1.4733,gutter
5.24,47.33,27.44,39.04,10.56,1.4759,gutter
4.82,27.37,33.28,44.53,17.88,1.4748,gutter
5.02,25.67,29.94,48.6,21.38,1.4759,gutter
6.67,39.39,29.6,45.87,18.42,1.4746,gutter
5.39,43.03,20.87,42.77,18.5,1.4725,gutter
6.15,39.62,27.02,35.82,16.78,1.4725,gutter
6.38,45.36,31.76,32.2,14.7,1.4726,gutter
5.3,42.81,33.18,34.83,15.93,1.4748,gutter
6.25,39.27,21.74,42.52,20.1,1.4731,gutter
4.75,43.39,25.77,42.55,19.02,1.4761,gutter
4.74,25.39,24.27,18.69,9.6,1.4737,gutter
6.41,46.18,25.58,44.38,10.77,1.476,gutter
5.08,34.04,31.08,44.49,17.42,1.4739,gutter
6.27,28.05,27.02,20.89,14.95,1.4762,gutter
5.86,27.61,21.65,30.26,16.77,1.4744,gutter
6.5,44.77,30.31,22.21,18.22,1.4733,gutter
5.54,42.97,27.7,15.11,20.34,1.4745,gutter
5.49,31.12,29.55,42.73,20.2,1.4762,gutter
5.35,25.44,28.12,40.15,10.21,1.4753,gutter
6.5,27.78,20.63,15.1,19.51,1.4736,gutter
5.23,29.45,30.73,26.75,9.77,1.4751,gutter
5.78,46.39,25.55,33.62,18.67,1.474,gutter
4.72,46.05,19.01,26.64,11.45,1.4723,gutter
5.51,29.6,22.7,16.8,19.39,1.473,gutter
6.08,43.59,19.89,24.41,12.38,1.476,gutter
5.49,40.36,25.11,34.9,10.66,1.4748,gutter
4.95,28.89,29.65,12.86,16.68,1.475,gutter
6.35,24.48,23.7,34.28,12.27,1.475,gutter
5.5,42.76,30.8,24.84,15.5,1.4756,gutter
6.01,34.57,22.78,26.21,21.41,1.4736,gutter
4.76,27.01,20.31,38.51,21.0,1.4737,gutter
6.3,42.65,23.65,33.42,21.01,1.4722,gutter
5.85,42.36,19.84,46.41,17.73,1.476,gutter
6.35,40.6,22.02,16.75,11.78,1.4761,gutter
6.08,29.91,25.85,15.7,19.74,1.4758,gutter
4.87,39.37,29.6,42.28,11.27,1.4736,gutter
5.22,30.09,24.81,34.9,17.39,1.4757,gutter
4.63,42.79,22.15,45.71,20.45,1.4759,gutter
5.29,38.8,20.79,39.58,16.58,1.475,gutter
4.94,41.31,20.66,36.99,18.13,1.4734,gutter
4.76,30.12,31.01,37.82,10.46,1.4724,gutter
5.13,46.16,27.59,20.51,14.58,1.476,gutter
6.31,46.61,23.57,19.19,16.28,1.4756,gutter
6.16,29.72,23.29,29.92,14.12,1.4756,gutter
5.65,29.44,26.81,36.43,18.61,1.4761,gutter
5.4,40.79,20.12,35.89,15.27,1.4764,gutter
6.56,34.32,31.67,28.28,17.56,1.4747,gutter
5.77,46.47,22.54,25.63,14.89,1.475,gutter
5.52,26.11,28.45,26.46,13.72,1.4727,gutter
5.85,34.83,30.5,26.78,12.78,1.4734,gutter
4.84,40.38,24.35,38.96,18.1,1.4723,gutter
5.91,46.79,25.28,14.67,17.76,1.474,gutter
6.35,34.45,30.87,41.36,10.52,1.4728,gutter
5.3,47.63,22.92,29.0,21.22,1.4721,gutter
6.68,46.54,23.69,42.32,19.82,1.4753,gutter
5.66,34.4,21.18,16.45,14.08,1.4732,gutter
6.0,38.3,23.72,14.27,16.81,1.4735,gutter
5.41,37.67,30.34,26.91,15.27,1.4736,gutter
5.15,45.02,22.19,38.44,16.37,1.4741,gutter
5.76,46.3,20.91,17.33,14.69,1.4733,gutter
6.47,25.75,29.69,47.76,16.99,1.4724,gutter
4.72,48.46,24.32,18.31,17.44,1.4736,gutter
5.04,34.75,21.18,37.23,14.1,1.4743,gutter
6.48,46.57,26.72,31.53,11.45,1.4725,gutter
6.01,34.61,28.37,20.48,10.7,1.4735,gutter
